year,state_code,state_name,district_name,dist_code,court_no,court_name
2010,3,Karnataka,YADGIR,30,7,"PRL.CIVIL JUDGE AND JMFC,SHORAPUR"
2010,3,Karnataka,YADGIR.,30,1,District and Sessions Judge
2010,9,Rajasthan,Jaipur Metro,4,14,DJ ADJ Jaipur Metro HQ
2010,9,Rajasthan,Jaipur Metro I,4,31,CMM ACMM Nagar Nigam Court Complex Jaipur Metro
2010,9,Rajasthan,Merta (Nagaur),8,11,DJ-Merta District HQ
2010,9,Rajasthan,Merta Nagaur,8,16,SCST-Merta District HQ
2010,18,Chhattisgarh,Surguja,4,1,District and Sessions Court Surguja CG
2011,18,Chhattisgarh,Surguja at Ambikapur,4,10,JUVENILE JUSTICE BOARD AMBIKAPUR CG
2013,22,Punjab,Hoshiarpur,18,7,"CRIMINAL COURTS, DASUYA"
2010,22,Punjab,Hoshiarpurr,18,1,CIVIL JUDGE SENIOR DIVISION DASUYA
