Name,Unique-ID,women_percentage
Ladak,37,0.3454418532927794
Mizoram,24,1.845226123235272
Dadra & Nagar Haveli,8,13.336889837289943
Bihar,5,60.15119083100767
Jharkhand,16,77.8010253415194
Meghalaya,23,124.04761259184946
Tamil Nadu,31,276.18506182414967
Andhra Pradesh,2,276.352353949703
Telangana,32,319.75338910117193
Jammu & Kashmir,15,385.4508648416119
West Bengal,36,410.2964276437921
Chhattisgarh,7,416.5990948230504
Odisha,26,421.5868453731277
Daman & Diu,9,516.6401171050932
Karnataka,17,603.0280311285798
Sikkim,30,786.0322760155815
Uttar Pradesh,34,898.9593714809478
Assam,4,1073.3489384174234
Madhya Pradesh,20,1217.7636825635266
Uttarakhand,35,1255.83836507387
Rajasthan,29,1257.9760823910383
Punjab,28,1352.6617535118148
Tripura,33,1482.103887313424
Gujarat,12,1569.118265539227
Manipur,22,1707.7057044427163
Goa,11,1969.9927150586968
Kerala,18,2024.714034032944
Haryana,13,2335.9401119696377
Himachal Pradesh,14,2750.352734363686
Maharashtra,21,2916.363823828942
Delhi,10,4354.0294481862165
Chandigarh,6,4504.163034277123
