state_code,state_name,year,average_days
1,Maharashtra,2018,78.08429342919626
2,Andhra Pradesh,2018,99.0316094022138
3,Karnataka,2018,63.30953520575574
4,Kerala,2018,160.4696680119776
5,Himachal Pradesh,2018,36.78994487030244
6,Assam,2018,84.76964646021581
7,Jharkhand,2018,35.562229804242364
8,Bihar,2018,69.17136655250592
9,Rajasthan,2018,48.406486421542304
10,Tamil Nadu,2018,60.26683721817028
11,Orissa,2018,88.74417211600858
12,Jammu and Kashmir,2018,80.31985371194297
13,Uttar Pradesh,2018,65.97848342825795
14,Haryana,2018,96.90089964375422
15,Uttarakhand,2018,88.44503280764361
16,West Bengal,2018,88.42130962113492
17,Gujarat,2018,114.17693423748965
18,Chhattisgarh,2018,42.20602937783588
19,Mizoram,2018,127.06758832565285
20,Tripura,2018,149.0843981700584
21,Meghalaya,2018,53.43226047904192
22,Punjab,2018,87.05324407672057
23,Madhya Pradesh,2018,43.4940815643022
24,Sikkim,2018,47.857949479940565
25,Manipur,2018,48.621921077303334
26,Delhi,2018,108.7150041164139
27,Chandigarh,2018,205.1756419093572
29,Telangana,2018,99.06968143326229
30,Goa,2018,54.51313704228876
31,Diu and Daman,2018,75.33576642335767
32,DNH at Silvasa,2018,176.65793528505392
33,Ladakh,2018,129.99076212471132
