year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days,mean_disposition_days,case_pendency_rate
2010,26,1,87885,4121,92006,364683.0,88.49381218150934,0.955209442862422
2010,26,2,117551,685,118236,54981.0,80.26423357664234,0.9942065022497378
2010,26,3,118223,1960,120183,183133.0,93.43520408163265,0.9836915370726309
2010,26,4,151451,2142,153593,146996.0,68.62558356676004,0.9860540519424713
2010,26,5,180337,4016,184353,313479.0,78.05751992031873,0.9782157057384474
2010,26,6,257594,2800,260394,336950.0,120.33928571428571,0.9892470640644562
2010,26,7,175600,2389,177989,125455.0,52.513604018417745,0.9865778222249689
2010,26,8,297411,4041,301452,337622.0,83.54912150457807,0.9865948807770392
2010,26,9,192195,2789,194984,221150.0,79.29365363929723,0.985696262257416
2010,26,10,153688,835,154523,64875.0,77.69461077844312,0.9945962736938837
2010,26,11,181578,1669,183247,89535.0,53.64589574595566,0.9908920746315083
2011,26,1,81044,6841,87885,1353293.0,197.8209326121912,0.9221596404392103
2011,26,2,116168,1383,117551,275174.0,198.96890817064352,0.9882348937907802
2011,26,3,115188,3035,118223,661046.0,217.80757825370677,0.9743281764123732
2011,26,4,147643,3808,151451,625820.0,164.34348739495798,0.9748565542650758
2011,26,5,172288,8049,180337,967151.0,120.15790781463537,0.9553668964216994
2011,26,6,251086,6508,257594,1470762.0,225.99293177627536,0.9747354363843879
2011,26,7,173822,1778,175600,320973.0,180.52474690663666,0.989874715261959
2011,26,8,288286,9125,297411,1615171.0,177.00504109589042,0.9693185524408983
2011,26,9,186105,6090,192195,1092547.0,179.4001642036125,0.9683134316709592
2011,26,10,149437,4251,153688,792818.0,186.50152905198777,0.9723400655874239
2011,26,11,180027,1551,181578,322023.0,207.62282398452612,0.9914582163037372
2012,26,1,73218,7826,81044,2291094.0,292.75415282392026,0.9034351710182124
2012,26,2,114338,1830,116168,554110.0,302.79234972677597,0.9842469526892087
2012,26,3,111401,3787,115188,1123079.0,296.5616583047267,0.9671233114560545
2012,26,4,142707,4936,147643,1210905.0,245.32111021069693,0.9665680052559213
2012,26,5,163584,8704,172288,1854840.0,213.10202205882354,0.9494799405646359
2012,26,6,239414,11672,251086,3710721.0,317.91646675805345,0.9535139354643429
2012,26,7,171746,2076,173822,416575.0,200.66233140655106,0.9880567477074248
2012,26,8,275448,12838,288286,3194191.0,248.80752453653216,0.9554678340259326
2012,26,9,179964,6141,186105,1572668.0,256.09314443901644,0.9670024985895059
2012,26,10,143335,6102,149437,1645101.0,269.60029498525074,0.9591667391609843
2012,26,11,176806,3221,180027,874157.0,271.3930456380006,0.9821082393196576
2013,26,1,64058,9160,73218,3188590.0,348.09934497816596,0.8748941517113278
2013,26,2,110873,3465,114338,1109570.0,320.22222222222223,0.969695114485123
2013,26,3,105986,5415,111401,1912828.0,353.2461680517082,0.9513918187448945
2013,26,4,136191,6516,142707,1890190.0,290.0844076120319,0.9543400113519309
2013,26,5,155597,7987,163584,1975242.0,247.30712407662452,0.9511749315336463
2013,26,6,228388,11026,239414,4703050.0,426.54181026664247,0.9539458845347389
2013,26,7,167619,4127,171746,798320.0,193.43833292948872,0.9759703282754766
2013,26,8,260363,15085,275448,4531823.0,300.41915810407687,0.9452346722430368
2013,26,9,173054,6910,179964,2280681.0,330.05513748191026,0.9616034317974707
2013,26,10,136967,6368,143335,1649011.0,258.9527324120603,0.9555726096208184
2013,26,11,170902,5904,176806,1873699.0,317.36094173441734,0.9666074680723505
2014,26,1,57215,6843,64058,2941437.0,429.8461201227532,0.8931749352149615
2014,26,2,105086,5787,110873,2169615.0,374.9118714359772,0.9478051464287969
2014,26,3,98757,7229,105986,3186167.0,440.74795960713794,0.9317928783046817
2014,26,4,129551,6640,136191,1963145.0,295.6543674698795,0.9512449427642061
2014,26,5,146171,9426,155597,2600144.0,275.8480797793338,0.9394204258436859
2014,26,6,197030,31358,228388,14221464.0,453.5194846610115,0.8626985655988931
2014,26,7,157693,9926,167619,2364140.0,238.17650614547654,0.9407823695404459
2014,26,8,243180,17183,260363,6403485.0,372.66397020310774,0.9340036794782669
2014,26,9,162316,10738,173054,3895352.0,362.7632706276774,0.9379500040449802
2014,26,10,130032,6935,136967,2488624.0,358.84989185292,0.9493673658618499
2014,26,11,159775,11127,170902,4966126.0,446.31311224948325,0.9348925114978175
2015,26,1,49327,7888,57215,3526181.0,447.0310598377282,0.8621340557546098
2015,26,2,97834,7252,105086,2939125.0,405.28474903474904,0.930989855927526
2015,26,3,90304,8453,98757,4089219.0,483.75949367088606,0.9144060674180058
2015,26,4,118124,11427,129551,3493531.0,305.72599982497593,0.9117953547251662
2015,26,5,132634,13537,146171,4934700.0,364.5342394917633,0.9073892906253634
2015,26,6,187427,9603,197030,4390215.0,457.1711965010934,0.9512612292544282
2015,26,7,147322,10371,157693,3706019.0,357.34442194581044,0.9342329716601244
2015,26,8,219340,23840,243180,9967037.0,418.08041107382553,0.901965622172876
2015,26,9,152083,10233,162316,4199562.0,410.39401934916447,0.9369563074496661
2015,26,10,123411,6621,130032,2861509.0,432.1868297840205,0.9490817644887413
2015,26,11,149932,9843,159775,3662600.0,372.1020014223306,0.938394617430762
2016,26,1,40622,8705,49327,3660370.0,420.4905226881103,0.823524641676972
2016,26,2,81290,16544,97834,5703285.0,344.73434477756285,0.8308972340903981
2016,26,3,74048,16256,90304,7329588.0,450.88508858267716,0.8199858256555634
2016,26,4,96853,21271,118124,6557203.0,308.26961590898406,0.8199265178964478
2016,26,5,114020,18614,132634,8036624.0,431.7515848286236,0.8596589109881327
2016,26,6,166670,20757,187427,8200425.0,395.0679288914583,0.8892528824555693
2016,26,7,125826,21496,147322,7736317.0,359.89565500558246,0.8540883235361996
2016,26,8,183452,35888,219340,16292543.0,453.9830305394561,0.8363818728914014
2016,26,9,128888,23195,152083,10896053.0,469.7586979952576,0.8474845972265145
2016,26,10,110527,12884,123411,5848199.0,453.9117510090034,0.8956008783657858
2016,26,11,132039,17893,149932,7036408.0,393.24920359917286,0.8806592321852573
2017,26,1,30805,9817,40622,4085309.0,416.14637873077316,0.758332923046625
2017,26,2,64947,16343,81290,7490024.0,458.3016582022884,0.7989543609300037
2017,26,3,56121,17927,74048,9053467.0,505.0185195515145,0.7579002808988764
2017,26,4,70270,26583,96853,9725626.0,365.85885716435314,0.7255325080276295
2017,26,5,90866,23154,114020,9357586.0,404.1455472056664,0.796930363094194
2017,26,6,124621,42049,166670,12755431.0,303.34683345620584,0.7477110457790844
2017,26,7,95838,29988,125826,10890908.0,363.17553688141925,0.7616708788326737
2017,26,8,135838,47614,183452,20427673.0,429.026609820641,0.7404552689531867
2017,26,9,99875,29013,128888,13922705.0,479.8781580670734,0.7748975855005896
2017,26,10,85561,24966,110527,8653370.0,346.6061844107987,0.7741185411709356
2017,26,11,96665,35374,132039,9723385.0,274.87377735059647,0.7320943054703535
2018,26,1,19051,11754,30805,4866601.0,414.03785945210143,0.6184385651679922
2018,26,2,43096,21851,64947,11544225.0,528.3156377282504,0.6635564383266356
2018,26,3,35514,20607,56121,8875365.0,430.6966079487553,0.632811247126744
2018,26,4,47320,22950,70270,10738832.0,467.92296296296297,0.6734025900099616
2018,26,5,64906,25960,90866,11467142.0,441.72349768875193,0.7143045803710959
2018,26,6,68178,56443,124621,17297001.0,306.450773346562,0.5470827549128959
2018,26,7,64152,31686,95838,13678545.0,431.6904942245787,0.669379578037939
2018,26,8,76314,59524,135838,29036011.0,487.80342382904377,0.5618015577378936
2018,26,9,67570,32305,99875,16600995.0,513.8831450239901,0.6765456821026283
2018,26,10,44488,41073,85561,13186434.0,321.04871813600175,0.5199565222472856
2018,26,11,48376,48289,96665,14327992.0,296.713371575307,0.5004500077587545
