act,act_s,count
977.0,3 of the Muslim Womens Rights and Divers  protection Act,5.0
1575.0,4 of Tamil nadu Prohibition women Harresment Act,26.0
1577.0,4 of protection of muslim women divorce act 1986,26.0
7332.0,Hindu Women 's Rights to Property(Extension to Agricultural Land )Act (BIHAR),67.0
7333.0,"Hindu Womens Right to Property Act, 1937",1.0
7476.0,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,6.0
7477.0,"INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT, 1986",24.0
7478.0,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) RULES,1.0
7479.0,"INDECENT REPRESENTATION OF WOMEN ACT, 1986",12.0
7708.0,Indecent Repren of women Prohibition Act 1986,2.0
7709.0,Indecent Representation 0f women Prohibition  Act,1.0
7710.0,Indecent Representation Of  Women Prohibition  Act,2.0
7711.0,Indecent Representation Of Women (Prohibition) Act,28.0
7712.0,Indecent Representation Of Women Act,2.0
7713.0,Indecent Representation Of Women Prohibition Act,5.0
7715.0,Indecent Representation of Women (Prohibition ) Act,2.0
7716.0,Indecent Representation of Women (Prohibition Act),6.0
7717.0,Indecent Representation of Women (Prohibition) Act,344.0
7718.0,Indecent Representation of Women (Prohibition) Act 1986,1.0
7719.0,Indecent Representation of Women Prohibition Act,2.0
7720.0,"Indecent Representation of Women Prohibition Act, 1986 The",32.0
7721.0,Indecent Representation of Women(Prohibition)  Act,15.0
7722.0,Indecent Representation of Women(Prohibition) Act,6.0
7723.0,Indecent Representation of Woment (Prohibition) Act 1986,6.0
7724.0,IndecentRepresentationofWomen(Prohibition)Act,89.0
9491.0,Legal Practitioners (Women) Act,21.0
9492.0,"Legal Practitioners (Women) Act, 1923",1.0
9506.0,LegalPractitioners(Women)Act,2.0
9719.0,MARRIED WOMEN'S PROPERTY ACT,3.0
9720.0,"MARRIED WOMEN'S PROPERTY ACT, 1874",18.0
9885.0,MUSLIM WOMEN (PROTECTION OF RIGHTS ON DIVORCE) ACT,252.0
9886.0,"MUSLIM WOMEN (PROTECTION OF RIGHTS ON DIVORCE) ACT, 1986",1788.0
9887.0,MUSLIM WOMEN(PROTECTION OF RIGHT AND DIVORCE)AND1986,5.0
9963.0,"Mah. Prohib. of obscene Dance in Hotels, Restaurents, Bar, Rooms, protection of Dignity of women",1.0
9976.0,"Maha Proh of Obscene Dance in Hotels, Restaurants and Bar Room And Protection of Diginity of Women",6.0
9977.0,Maha Prohibition of obscene dance in Hotels Retro and Bar Room Prot. of Dignity of Women Act 2016,1.0
10096.0,Maharashtra Prohibition of Obscene Dance in Hotels Restaurants and Protection of Dignity ofWomen2016,2.0
10234.0,Married Women&#039;s Property (Extension) Act,1.0
10235.0,Married Women's Property (Extension) Act,44.0
10236.0,Married Women's Property (Extension) Act 1959,1.0
10237.0,Married Women's Property Act,86.0
10238.0,Married Womens Property (Extension) Act,1.0
10239.0,"Married Womens Property (Extension) Act, 1959",1.0
10240.0,Married Womens Property Act,15.0
10241.0,"Married Womens Property Act, 1874",3.0
10242.0,Married Womens Property Extension Act,1.0
10243.0,MarriedWomensProperty(Extension)Act,12.0
10244.0,MarriedWomensPropertyAct,92.0
10493.0,Miss Representation of Women Prohibition Act,1.0
10661.0,"Musilim Women  Protection of Rights on Divoce   Act, 1986  The",1.0
10685.0,"Muslim Women  - Protection Of Right On Divorce Act ,1986",14.0
10686.0,Muslim Women  Protection Of Right On Divorce Act 1986,4.0
10687.0,"Muslim Women (Protection Of Right On Divorce) Act,1986",837.0
10688.0,"Muslim Women (Protection Of Right On Divorce)Act ,1986",584.0
10689.0,Muslim Women (Protection of Right and Divorce) Act 1986,47.0
10690.0,Muslim Women (Protection of Right and Divorce) Act 1986 \,51.0
10691.0,Muslim Women (Protection of Right and Divorce) Act 1986\,1524.0
10692.0,"Muslim Women (Protection of Rights on Divorce Act,1986)",282.0
10693.0,Muslim Women (Protection of Rights on Divorce) Act,6423.0
10694.0,Muslim Women (Protection of Rights on Divorce) Act 1986,105.0
10695.0,"Muslim Women (Protection of Rights on Divorce) Act, 1986",1.0
10696.0,"Muslim Women (Protection of Rights on Marriage) Act,2019",1.0
10697.0,Muslim Women Protection Of Right On DivorceAct 1986,10.0
10698.0,Muslim Women Protection of Right on Divorce Act 1986,1.0
10699.0,Muslim Women Protection of Rights on Divorce Act,2.0
10700.0,"Muslim Women Protection of Rights on Divorce Act,1986",149.0
10701.0,"Muslim Women, Protection of Rights on Divorce Act",347.0
10704.0,Muslim women Protection Act,3.0
10706.0,MuslimWomen(ProtectionofRightsonDivorce)Act,29.0
10776.0,"NATIONAL COMMISSION FOR WOMEN ACT, 1990",3.0
10909.0,National Commission for Women Act,14.0
10970.0,NationalCommissionforWomenAct,32.0
16678.0,"THE INDECENT REPRESENTATION OF WOMEN (PROHIBITION)ACT, 1986",35.0
16724.0,"THE MUSLIM WOMEN ( PROTECTION OF RIGHTS ON DIVORCE) ACT, 1986",8.0
16725.0,THE MUSLIM WOMEN AND DIVORCE ACT1986,33.0
16878.0,TN Prohibition of Women Horresment Act 2002,3.0
17467.0,The Muslim Women (Protection of Right on Marriage Act 2019),1.0
17468.0,The Muslim Women (Protection of Rights on Divorce) Act 1986,164.0
17469.0,"The Muslim Women (Protection of Rights on Marriage) Act, 2019",109.0
21095.0,U/S OF THE SEXUAL HARRASSMENT OF WOMEN AT WORKPLACE PREVENTION PROHIBITION AND REDRESSAL ACT 2013,1.0
27810.0,Women Harassment Act,1.0
27811.0,Women Harrasement Act,9.0
27812.0,Women Harrassment Act,3.0
27813.0,Women Prohibition Act 1986,1.0
27814.0,Women Prohibition Act 2005,3.0
27815.0,Women Protection Act,1.0
27819.0,Women&#039;s and Children&#039;s Institutions (Licensing) Act,2.0
27821.0,Women's and Children's Institutions (Licensing) Act,2259.0
27822.0,Women's and Children's Institutions (Licensing) Act 1956,2.0
27823.0,Womens and Childrens Institutions (Licensing) Act,78.0
27825.0,WomensandChildrensInstitutions(Licensing)Act,198.0
29846.0,women Harrasment Act 2002,1.0
