,state_code,pending_cases,solved_cases,total_cases,total_days,mean_disposition_days,case_pendency_rate,case_disposition_rate,judges_count,cases_per_judge
0,1,3000195,7006856,10007051,3274426845.0,467.3175594018202,0.2998081053049495,0.7001918946950505,21104,474.17792835481424
1,2,523218,1546584,2069802,828744075.0,535.854551062212,0.2527864984186893,0.7472135015813107,3359,616.195891634415
2,3,1492095,6606074,8098169,1978374451.0,299.4780940994606,0.1842509090635179,0.8157490909364821,6038,1341.2005631003644
3,4,1262982,3497038,4760020,1458316873.0,417.0148774477143,0.2653312381040416,0.7346687618959584,3072,1549.4856770833333
4,5,253776,714213,967989,244777173.0,342.722931394416,0.262168268441067,0.737831731558933,870,1112.6310344827587
5,6,279328,913112,1192440,387688700.0,424.57956964753504,0.2342491026802187,0.7657508973197813,1394,855.4088952654232
6,7,332942,755879,1088821,330413684.0,437.12510071056346,0.3057821258039659,0.6942178741960341,2279,477.7626151820974
7,8,1739110,1291205,3030315,642900341.0,497.9072579489701,0.5739040330790693,0.4260959669209306,2707,1119.436645733284
8,9,1420530,3077358,4497888,1442884314.0,468.87112711618215,0.315821558918319,0.684178441081681,5409,831.5562950637826
9,10,1040164,2576389,3616553,1270173991.0,493.0055170240208,0.2876119885426814,0.7123880114573186,3586,1008.5200780814278
10,11,868029,741281,1609310,506338212.0,683.0583975577413,0.539379609894924,0.4606203901050761,1899,847.451290152712
11,12,154694,212162,366856,94310762.0,444.5224026922823,0.4216749896417123,0.5783250103582878,902,406.7139689578714
12,13,4965724,8194276,13160000,3476010513.0,424.1998332738609,0.377334650455927,0.6226653495440729,12880,1021.7391304347826
13,14,686174,2826120,3512294,1073038482.0,379.6861003779033,0.1953634860863014,0.8046365139136986,2323,1511.964700817908
14,15,223984,547387,771371,208217362.0,380.3841925365418,0.2903712999321986,0.7096287000678013,989,779.9504550050556
15,16,1084509,1526568,2611077,673112896.0,440.9321405924924,0.415349298392962,0.584650701607038,2576,1013.616847826087
16,17,1067229,4212358,5279587,1696294273.0,402.6947075723384,0.2021425160718063,0.7978574839281937,6476,815.2543236565781
17,18,263272,779548,1042820,284167045.0,364.52796364046856,0.2524615945225446,0.7475384054774553,1012,1030.4545454545455
18,19,3182,7156,10338,2204276.0,308.03186137506987,0.3077964790094796,0.6922035209905204,44,234.95454545454547
19,20,22103,80073,102176,39288950.0,490.6641439686287,0.2163228155339805,0.7836771844660194,444,230.12612612612614
20,21,6481,27711,34192,5867426.0,211.7363501858468,0.1895472625175479,0.8104527374824521,148,231.02702702702703
21,22,577989,2602574,3180563,1009831883.0,388.01274545891874,0.1817253737781644,0.8182746262218356,1922,1654.8194588969823
22,23,1333492,4105864,5439356,1706539881.0,415.6347801583297,0.2451562280534681,0.754843771946532,5493,990.2341161478245
23,24,1265,26963,28228,3178493.0,117.88350702814968,0.0448136601955505,0.9551863398044494,133,212.2406015037594
24,25,9337,73220,82557,12352299.0,168.7011608850041,0.1130976174037331,0.8869023825962669,113,730.5929203539823
25,26,578965,1361995,1940960,506067121.0,371.5631268837257,0.298287960596818,0.7017120394031819,1377,1409.5570079883805
26,27,40358,184134,224492,79075634.0,429.4461316215365,0.1797747803930652,0.8202252196069347,138,1626.7536231884058
27,29,491044,1073327,1564371,625085679.0,582.3813982132193,0.3138922928128941,0.6861077071871059,2373,659.2376738305942
28,30,42025,237338,279363,63562776.0,267.81541935973166,0.150431517416408,0.849568482583592,269,1038.5241635687732
